stage,query_ids,sb_mb,work_mem_mb,plan_supported,missing_plan_anchors,plan_anchors,prediction_sources,prediction_confidence,dynamic_peak_mb,spill_temp_mb,spill_io_mb,spill_io_mib_s,spilling_operators,infeasible_no_spill_operators,raw_os_capacity_mb,os_capacity_mb,predicted_memavailable_mb,memory_safe,tp_accesses,tp_sb_hits,tp_os_hits,tp_disk_misses,tp_sb_hit_rate,tp_os_cond_hit_rate,tp_combined_hit_rate,tp_refaults,tp_active_refaults,os_evictions,os_streaming_evictions,synthetic_spill_pages,tp_disk_io_mb,predicted_physical_io_mb,memory_footprint_mb,dynamic_pool_safe,available_dynamic_pool_mb,dynamic_pool_excess_mb
stage2_reach_limit,3,4096,1208,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1458.0,0.0,0.0,0.0,0,0,23493.0,23416.081,21740.026,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,207590,207590,0,303.0,303.0,5554.0,True,15291.0,0.0
stage2_reach_limit,3,8192,1208,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1458.0,0.0,0.0,0.0,0,0,19397.0,19320.081,20543.175,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,207590,207590,0,303.0,303.0,9650.0,True,15291.0,0.0
stage3_protect_tp,5;7,128,256,True,,q5:q5_p1@256;q7:q7_p1@256,q5:same_plan_trace;q7:same_plan_trace,0.95,938.0,1701.247,27548.882,33.31327,3,0,27328.0,28138.58,23116.857,True,374143,365650,7503,990,0.97730012,0.88343342,0.99735395,0,0,211403,211403,3402,495.0,28043.882,1066.0,True,15291.0,0.0
stage3_protect_tp,5;7,256,256,True,,q5:q5_p1@256;q7:q7_p1@256,q5:same_plan_trace;q7:same_plan_trace,0.95,938.0,1701.247,27548.882,33.31327,3,0,27200.0,28010.58,23079.455,True,374143,369142,4011,990,0.98663345,0.80203959,0.99735395,0,0,211403,211403,3402,495.0,28043.882,1194.0,True,15291.0,0.0
stage3_protect_tp,5;7,512,256,True,,q5:q5_p1@256;q7:q7_p1@256,q5:same_plan_trace;q7:same_plan_trace,0.95,938.0,1701.247,27548.882,33.31327,3,0,26944.0,27754.58,23004.652,True,374143,370992,2161,990,0.99157809,0.68581403,0.99735395,0,0,211368,211368,3402,495.0,28043.882,1450.0,True,15291.0,0.0
stage3_protect_tp,5;7,1024,256,True,,q5:q5_p1@256;q7:q7_p1@256,q5:same_plan_trace;q7:same_plan_trace,0.95,938.0,1701.247,27548.882,33.31327,3,0,26432.0,27242.58,22855.046,True,374143,372302,851,990,0.99507942,0.46224878,0.99735395,0,0,211531,211531,3402,495.0,28043.882,1962.0,True,15291.0,0.0
stage3_protect_tp,5;7,1504,256,True,,q5:q5_p1@256;q7:q7_p1@256,q5:same_plan_trace;q7:same_plan_trace,0.95,938.0,1701.247,27548.882,33.31327,3,0,25952.0,26762.58,22714.79,True,374143,372608,545,990,0.99589729,0.35504886,0.99735395,0,0,211435,211435,3402,495.0,28043.882,2442.0,True,15291.0,0.0
stage3_protect_tp,5;7,2048,256,True,,q5:q5_p1@256;q7:q7_p1@256,q5:same_plan_trace;q7:same_plan_trace,0.95,938.0,1701.247,27548.882,33.31327,3,0,25408.0,26218.58,22555.833,True,374143,373153,0,990,0.99735395,0.0,0.99735395,0,0,211467,211467,3402,495.0,28043.882,2986.0,True,15291.0,0.0
stage3_protect_tp,5;7,4096,256,True,,q5:q5_p1@256;q7:q7_p1@256,q5:same_plan_trace;q7:same_plan_trace,0.95,938.0,1701.247,27548.882,33.31327,3,0,23360.0,24170.58,21957.407,True,374143,373153,0,990,0.99735395,0.0,0.99735395,0,0,211467,211467,3402,495.0,28043.882,5034.0,True,15291.0,0.0
stage3_protect_tp,5;7,8192,256,True,,q5:q5_p1@256;q7:q7_p1@256,q5:same_plan_trace;q7:same_plan_trace,0.95,938.0,1701.247,27548.882,33.31327,3,0,19264.0,20074.58,20760.556,True,374143,373153,0,990,0.99735395,0.0,0.99735395,0,0,211467,211467,3402,495.0,28043.882,9130.0,True,15291.0,0.0
stage3_protect_tp,5;7,128,512,True,q5:q5_p2,q5:q5_p2:synthesized;q7:q7_p1@256,q5:source+same_query_trace;q7:same_plan_trace,0.75,1588.0,922.931,8819.094,10.664421,2,0,27328.0,27556.668,22845.131,True,374143,365650,7503,990,0.97730012,0.88343342,0.99735395,0,0,209846,209846,1845,495.0,9314.094,1716.0,True,15291.0,0.0
stage3_protect_tp,5;7,256,512,True,q5:q5_p2,q5:q5_p2:synthesized;q7:q7_p1@256,q5:source+same_query_trace;q7:same_plan_trace,0.75,1588.0,922.931,8819.094,10.664421,2,0,27200.0,27428.668,22807.729,True,374143,369142,4011,990,0.98663345,0.80203959,0.99735395,0,0,209846,209846,1845,495.0,9314.094,1844.0,True,15291.0,0.0
stage3_protect_tp,5;7,512,512,True,q5:q5_p2,q5:q5_p2:synthesized;q7:q7_p1@256,q5:source+same_query_trace;q7:same_plan_trace,0.75,1588.0,922.931,8819.094,10.664421,2,0,26944.0,27172.668,22732.926,True,374143,370992,2161,990,0.99157809,0.68581403,0.99735395,0,0,209810,209810,1845,495.0,9314.094,2100.0,True,15291.0,0.0
stage3_protect_tp,5;7,1024,512,True,q5:q5_p2,q5:q5_p2:synthesized;q7:q7_p1@256,q5:source+same_query_trace;q7:same_plan_trace,0.75,1588.0,922.931,8819.094,10.664421,2,0,26432.0,26660.668,22583.32,True,374143,372302,851,990,0.99507942,0.46224878,0.99735395,0,0,209974,209974,1845,495.0,9314.094,2612.0,True,15291.0,0.0
stage3_protect_tp,5;7,1504,512,True,q5:q5_p2,q5:q5_p2:synthesized;q7:q7_p1@256,q5:source+same_query_trace;q7:same_plan_trace,0.75,1588.0,922.931,8819.094,10.664421,2,0,25952.0,26180.668,22443.064,True,374143,372608,545,990,0.99589729,0.35504886,0.99735395,0,0,209910,209910,1845,495.0,9314.094,3092.0,True,15291.0,0.0
stage3_protect_tp,5;7,2048,512,True,q5:q5_p2,q5:q5_p2:synthesized;q7:q7_p1@256,q5:source+same_query_trace;q7:same_plan_trace,0.75,1588.0,922.931,8819.094,10.664421,2,0,25408.0,25636.668,22284.107,True,374143,373153,0,990,0.99735395,0.0,0.99735395,0,0,209910,209910,1845,495.0,9314.094,3636.0,True,15291.0,0.0
stage3_protect_tp,5;7,4096,512,True,q5:q5_p2,q5:q5_p2:synthesized;q7:q7_p1@256,q5:source+same_query_trace;q7:same_plan_trace,0.75,1588.0,922.931,8819.094,10.664421,2,0,23360.0,23588.668,21685.681,True,374143,373153,0,990,0.99735395,0.0,0.99735395,0,0,209910,209910,1845,495.0,9314.094,5684.0,True,15291.0,0.0
stage3_protect_tp,5;7,8192,512,True,q5:q5_p2,q5:q5_p2:synthesized;q7:q7_p1@256,q5:source+same_query_trace;q7:same_plan_trace,0.75,1588.0,922.931,8819.094,10.664421,2,0,19264.0,19492.668,20488.83,True,374143,373153,0,990,0.99735395,0.0,0.99735395,0,0,209910,209910,1845,495.0,9314.094,9780.0,True,15291.0,0.0
stage3_protect_tp,5;7,128,1024,True,q7:q7_p2,q5:q5_p1@256;q7:q7_p2:synthesized,q5:same_plan_trace;q7:source+same_query_trace,0.75,3262.0,3264.995,6529.99,7.89634,1,0,27328.0,27328.0,22145.332,True,374143,365650,7503,990,0.97730012,0.88343342,0.99735395,0,0,214530,214530,6529,495.0,7024.99,3390.0,True,15291.0,0.0
